DateTime,Entries,UniqueIPs
1518034217,3894,3894
1518048611,3884,3884
1518063012,3820,3820
1518091811,3714,3714
1518106211,3640,3640
1518120611,3608,3608
1518135019,3560,3560
1518149411,3508,3508
1518163811,3507,3507
1518178212,3512,3512
1518192611,3214,3214
1518207013,3214,3214
1518221415,3245,3245
1518235811,3204,3204
1518250211,3205,3205
1518264611,3190,3190
1518279016,3155,3155
1518293417,3150,3150
1518307813,3121,3121
1518322219,3103,3103
1518336611,3081,3081
1518351010,3026,3026
1518365413,2960,2960
1518379810,2962,2962
1518394213,2929,2929
1518408609,2880,2880
1518423010,2904,2904
1518437410,2909,2909
1518451810,2912,2912
1518466214,2908,2908
1518480611,2836,2836
1518495010,2813,2813
1518509410,2807,2807
1518523810,2816,2816
1518538212,2762,2762
1518552610,2778,2778
1518567018,2775,2775
1518581410,2769,2769
1518595810,2763,2763
1518610211,2775,2775
1518624610,2784,2784
1518639011,2813,2813
1518653412,2820,2820
1518667809,2806,2806
1518682210,2815,2815
1518696610,2834,2834
1518711012,2799,2799
1518725409,2769,2769
1518739813,2757,2757
1518754210,2718,2718
1518768609,2694,2694
1518783010,2691,2691
1518797412,2642,2642
1518811810,2677,2677
1518826211,2686,2686
1518840682,2614,2614
1518855010,2599,2599
1518869410,2626,2626
1518883816,2634,2634
1518898210,2673,2673
1518912611,2645,2645
1518927012,2637,2637
1518941409,2622,2622
1518955809,2618,2618
1518970209,2593,2593
1518984612,2591,2591
1518999010,2580,2580
1519013409,2549,2549
1519027812,2513,2513
1519042210,2546,2546
1519056610,2543,2543
1519071011,2537,2537
1519085417,2565,2565
1519099810,2579,2579
1519114209,2588,2588
1519128609,2619,2619
1519143010,2639,2639
1519157411,2657,2657
1519171812,2673,2673
1519186209,2664,2664
1519200610,2664,2664
1519215009,2679,2679
1519229409,2681,2681
1519243810,2662,2662
1519258210,2636,2636
1519272609,2633,2633
1519287009,2634,2634
1519301409,2628,2628
1519315811,2617,2617
1519330216,2608,2608
1519344608,2590,2590
1519359011,2554,2554
1519373408,2541,2541
1519387808,2555,2555
1519402211,2580,2580
1519416616,2618,2618
1519431008,2583,2583
1519445408,2560,2560
1519459809,2561,2561
1519474208,2560,2560
1519488609,2558,2558
1519503008,2582,2582
1519517412,2589,2589
1519531810,2570,2570
1519546210,2580,2580
1519560609,2587,2587
1519575009,2517,2517
1519589409,2566,2566
1519603810,2569,2569
1519618219,2555,2555
1519632608,2553,2553
1519647008,2571,2571
1519661409,2589,2589
1519675808,2632,2632
1519690228,2652,2652
1519704610,2674,2674
1519719009,2688,2688
1519733409,2678,2678
1519747809,2674,2674
1519762209,2719,2719
1519776609,2668,2668
1519791009,2652,2652
1519805410,2642,2642
1519819809,2658,2658
1519834209,2646,2646
1519848610,2689,2689
1519863011,2687,2687
1519877409,2682,2682
1519891809,2695,2695
1519906210,2765,2765
1519920611,2805,2805
1519935068,2832,2832
1519949415,2891,2891
1521564902,2682,2682
1521579301,2699,2699
1521593702,2689,2689
1521608102,2683,2683
1521622502,2735,2735
1521636901,2759,2759
1521651613,2750,2750
1521666011,2774,2774
1521680409,2782,2782
1521694810,2812,2812
1521709210,2822,2822
1521723610,2848,2848
1521738010,2836,2836
1521752410,2876,2876
1521766811,2873,2873
1521781210,2886,2886
1521795611,2907,2907
1521810010,2922,2922
1521824413,2925,2925
1521838815,2865,2865
1521853210,2870,2870
1521867610,2886,2886
1521882011,2908,2908
1521896410,2929,2929
1521910811,2951,2951
1521925210,3037,3037
1521939610,3094,3094
1521954011,3115,3115
1521968412,3136,3136
1521982812,3227,3227
1521997210,3275,3275
1522011612,3282,3282
1522026011,3281,3281
1522040412,3308,3308
1522054812,3364,3364
1522069212,3402,3402
1522083611,3408,3408
1522098013,3437,3437
1522112411,3460,3460
1522126811,3473,3473
1522141212,3469,3469
1522155612,3484,3484
1522170012,3501,3501
1522184412,3470,3470
1522198811,3411,3411
1522213211,3377,3377
1522227612,3316,3316
1522242015,3249,3249
1522256412,3201,3201
1522270812,3257,3257
1522285211,3240,3240
1522299614,3259,3259
1522314013,3260,3260
1522328412,3245,3245
1522342814,3297,3297
1522357217,3310,3310
1522371611,3320,3320
1522393212,3314,3314
1522407611,3327,3327
1522422014,3290,3290
1522436414,3253,3253
1522450813,3232,3232
1522465211,3191,3191
1522479612,3141,3141
1522494012,3092,3092
1522508410,3052,3052
1522522811,3052,3052
1522537212,2967,2967
1522551611,2898,2898
1522566012,2866,2866
1522580411,2845,2845
1522594811,2840,2840
1522609212,2831,2831
1522623611,2850,2850
1522638010,2861,2861
1522652411,2869,2869
1522666811,2897,2897
1522681211,2888,2888
1522695610,2971,2971
1522710011,2986,2986
1522724411,2963,2963
1522738811,2966,2966
1522753211,2984,2984
1522767611,2964,2964
1522782013,2957,2957
1522796412,2927,2927
1522810810,2897,2897
1522825211,2906,2906
1522839611,2916,2916
1522854011,2853,2853
1522868410,2851,2851
1522882811,2989,2989
1522897212,3053,3053
1522911612,3082,3082
1522926011,3159,3159
1522940412,3160,3160
1522954811,3205,3205
1522969227,3116,3116
1522983613,3049,3049
1522998010,3054,3054
1523012410,3073,3073
1523026811,3011,3011
1523041209,2929,2929
1523055610,2901,2901
1523066406,2831,2831
1523080810,2748,2748
1523095208,2733,2733
1523109608,2657,2657
1523124008,2768,2768
1523138408,2820,2820
