DateTime,AddedIPs,RemovedIPs
1521257429,21,21
1521261030,16,17
1521262830,18,19
1521265232,18,17
1521268230,21,20
1521270031,16,17
1521273629,20,19
1521277231,18,19
1521279633,16,18
1521281432,16,12
1521285632,17,21
1521289230,22,19
1521292232,19,20
1521295830,21,22
1521299436,20,19
1521301230,16,15
1521304844,20,19
1521308440,21,22
1521312046,24,23
1521315638,19,20
1521319843,20,20
1521323435,19,18
1521327033,18,20
1521330030,23,24
1521337229,19,20
1521340831,23,19
1521344430,20,22
1521348033,23,22
1521349830,14,17
1521352832,17,16
1521356431,17,16
1521358832,19,19
1521362432,15,16
1521366037,18,17
1521369031,18,18
1521371432,8,9
1521375030,18,17
1521376833,15,14
1521380430,18,19
1521383430,13,16
1521387036,21,15
1521390630,21,22
1521394237,20,21
1521396039,21,23
1521398447,15,16
1521402040,19,17
1521405650,20,19
1521409230,20,21
1521412849,17,18
1521416438,13,13
1521420049,17,19
1521421838,15,11
1521425432,19,20
1521428429,14,14
1521432029,18,19
1521435631,21,19
1521439229,19,20
1521442829,24,21
1521446431,20,21
1521450029,18,22
1521451831,16,15
1521454229,14,11
1521457229,14,14
1521460832,19,18
1521464429,22,23
1521466231,17,16
1521468629,13,15
1521472232,17,18
1521475829,22,21
1521479431,17,17
1521483029,22,22
1521484831,16,17
1521488430,21,21
1521492030,21,20
1521495629,18,20
1521499231,19,19
1521507028,23,20
1521510031,23,25
1521513628,23,21
1521517832,23,22
1521521428,17,20
1521524432,21,18
1521528028,17,20
1521529831,18,17
1521533430,15,19
1521537031,20,16
1521540629,22,21
1521544232,13,14
1521551429,21,21
1521555039,14,13
1521556830,15,17
1521561031,22,20
1521564630,17,19
1521567637,16,18
1521571232,19,17
1521578428,24,23
1521582032,22,21
1521585629,19,20
1521589231,17,19
1521597029,22,22
1521600631,20,19
1521604228,17,18
1521607831,18,19
1521611429,17,16
1521614430,18,16
1521618028,18,21
1521621746,20,18
1521625229,20,19
1521628831,22,22
1521632428,21,21
1521636032,21,21
1521639629,20,21
1521643231,21,22
1521646831,20,19
1521654028,20,22
1521657631,21,17
1521661229,17,24
1521664831,25,17
1521668429,18,19
1521675629,19,19
1521682828,20,21
1521686430,21,21
1521694228,14,18
1521697230,21,16
1521700829,23,24
1521708028,20,21
1521711630,18,19
1521715228,16,17
1521718830,21,18
1521722430,19,21
1521730231,20,19
1521733231,19,19
1521736828,21,21
1521738630,13,12
1521742229,23,22
1521745831,20,22
1521749428,21,21
1521753031,22,22
1521754828,22,20
1521758430,19,21
1521762029,18,20
1521765630,21,18
1521772828,20,22
1521776430,22,18
1521779428,21,23
1521783029,18,19
1521786628,22,19
1521789029,16,19
1521792631,16,16
1521795628,22,19
1521799829,19,23
1521803434,21,18
1521807028,17,19
1521814229,19,19
1521817831,25,22
1521821429,22,25
1521824431,23,21
1521826828,15,17
1521830432,18,20
1521832228,17,17
1521835831,22,19
1521839429,23,24
1521843631,22,22
1521847229,20,22
1521850231,16,17
1521853829,21,17
1521857431,22,21
1521861028,16,21
1521862831,15,13
1521866428,22,20
1521870031,15,18
1521871828,13,11
1521875431,18,16
1521879029,22,22
1521882631,15,19
1521886228,18,14
1521889831,19,20
1521893428,19,21
1521897031,20,18
1521898828,20,19
1521902431,21,23
1521904228,15,14
1521907830,22,21
1521911428,21,22
1521915030,22,22
1521922828,24,24
1521926430,23,22
1521929428,24,25
1521933030,25,24
1521937230,24,25
1521940828,22,25
1521944429,21,22
1521948028,21,19
1521951031,22,22
1521954629,21,22
1521958232,25,22
1521962430,23,25
1521966027,26,23
1521969630,25,24
1521972630,26,27
1521976230,21,26
1521979828,26,21
1521983430,24,26
1521990628,22,21
1521994230,22,24
1521997828,22,22
1522001430,26,23
1522005670,24,26
1522009229,23,23
1522012231,21,22
1522015828,21,22
1522020030,26,22
1522023629,27,26
1522027230,22,27
1522030829,25,21
1522033831,23,24
1522035628,17,18
1522039231,25,24
1522046428,16,19
1522053628,16,14
1522057231,22,21
1522060830,22,22
1522064431,23,24
1522071629,20,20
1522075230,23,23
1522078830,24,24
1522083031,19,21
1522086628,25,22
1522090231,21,25
1522093228,24,21
1522097432,25,24
1522101028,24,25
1522104031,25,24
1522111228,18,19
1522118428,20,19
1522126228,26,24
1522129230,21,25
1522132828,22,19
1522136431,21,24
1522140029,24,21
1522143631,26,26
1522147229,26,26
1522151431,22,26
1522155029,22,20
1522158631,20,23
1522162229,25,20
1522165231,25,25
1522168829,24,25
1522172431,24,25
1522176631,26,24
1522180228,23,25
1522183831,24,23
1522187429,19,24
1522191031,24,19
1522194629,21,24
1522198230,24,22
1522201828,18,20
1522205430,22,20
1522208429,22,20
1522212031,22,22
1522215628,20,22
1522223429,17,15
1522227032,21,21
1522230629,20,22
1522234231,25,23
1522237829,25,25
1522241431,19,24
1522245028,25,20
1522248631,23,23
1522252229,22,24
1522255831,26,23
1522259428,25,27
1522263030,21,22
1522266628,21,22
1522270230,21,20
1522273229,23,22
1522276830,27,25
1522284627,21,23
1522288231,24,25
1522291828,23,23
1522295431,22,22
1522298428,20,19
1522302031,20,22
1522305628,21,20
1522308030,17,19
1522311629,22,19
1522314630,23,23
1522321829,20,20
1522326031,20,22
1522329628,22,20
1522333230,21,21
1522336829,22,23
1522340430,22,22
1522344030,25,23
1522347631,21,22
1522351229,23,21
1522354830,23,26
1522358429,25,23
1522362031,21,25
1522365629,23,20
1522368631,16,20
1522372830,18,18
1522380029,22,20
1522383030,20,19
1522387231,23,20
1522390828,19,23
1522394431,21,21
1522398028,22,19
1522401631,23,23
1522404628,22,22
1522408831,23,22
1522412429,19,21
1522419629,16,18
1522423231,21,19
1522426828,22,20
1522429831,19,23
1522434031,20,18
1522441229,21,21
1522444830,21,21
1522448429,20,22
1522452030,23,20
1522455629,22,22
1522462837,21,22
1522466430,20,22
1522469428,21,20
1522472430,21,21
1522475428,11,13
1522479030,20,19
1522482628,22,21
1522485630,17,17
1522489228,19,20
1522497028,21,20
1522500032,21,22
1522503629,23,21
1522505430,16,15
1522509029,19,21
1522512630,22,20
1522516229,20,22
1522519831,21,20
1522521628,20,20
1522529428,18,19
1522533031,22,21
1522536629,17,21
1522539630,21,18
1522547428,24,22
1522551032,19,24
1522554028,24,19
1522557630,23,24
1522561229,20,23
1522563030,17,16
1522566628,19,18
1522573828,13,12
1522578031,23,21
1522581629,19,22
1522585231,18,16
1522588229,21,22
1522591830,20,22
1522599028,21,19
1522602632,19,21
1522606228,20,18
1522610431,22,22
1522614029,25,24
1522617031,20,23
1522624227,18,17
1522629031,24,21
1522632028,22,26
1522635630,19,21
1522639228,21,18
1522642230,20,19
1522645828,19,22
1522650031,22,20
1522653629,22,22
1522657230,15,17
1522660829,19,18
1522664430,20,20
1522668028,25,23
1522671030,22,24
1522675231,20,18
1522678829,21,21
1522682430,23,22
1522685428,21,22
1522693230,15,16
1522696830,22,22
1522700429,25,23
1522704034,20,22
1522707029,19,19
1522711231,21,19
1522714228,24,23
1522718430,22,23
1522722029,22,23
1522725631,22,21
1522728629,18,21
1522732230,20,19
1522735829,23,21
1522739431,22,24
1522743631,24,21
1522747229,20,23
1522750831,18,18
1522753830,21,21
1522761029,17,16
1522768229,22,22
1522776028,22,22
1522779631,22,22
1522783229,19,22
1522786230,21,18
1522790431,22,22
1522794029,22,22
1522797630,18,21
1522801228,20,17
1522804830,19,21
1522808429,20,18
1522811430,15,16
1522815028,20,18
1522818631,20,21
1522822831,20,21
1522826433,24,22
1522830028,22,22
1522833631,20,23
1522837229,21,20
1522840831,19,21
1522848029,21,18
1522851631,19,20
1522855229,18,19
1522858830,23,20
1522862438,23,24
1522866631,23,22
1522870228,21,22
1522873231,21,20
1522876829,22,21
1522880433,17,20
1522884029,21,20
1522891229,15,19
1522894830,16,16
1522897828,18,16
1522901430,19,18
1522908628,14,14
1522915829,15,14
1522920030,21,20
1522923629,19,21
1522930228,20,18
1522934431,18,19
1522938029,18,18
1522941630,18,19
1522944629,15,17
1522948833,21,18
1522956028,15,16
1522959631,20,20
1522963229,19,19
1522966831,21,20
1522970428,19,20
1522974030,21,21
1522977628,19,18
1522984228,12,14
1522987231,19,17
1522989629,19,18
1522991430,21,21
1522995028,21,22
1522999231,20,21
1523002828,20,20
1523006432,19,20
1523010028,16,17
1523013630,22,19
1523016630,20,21
1523020831,17,18
1523024428,22,20
1523027431,21,22
1523031029,19,19
1523038229,15,16
1523041830,21,17
1523046030,20,23
1523053229,19,18
1523056830,20,20
1523060428,20,20
1523067629,13,12
1523071307,19,22
1523077230,15,12
1523079628,12,14
1523082630,21,20
1523085028,17,20
1523088631,19,18
1523092831,19,19
1523096429,19,19
1523100030,21,18
1523103629,21,22
1523107230,21,21
1523110828,19,22
1523113831,22,19
1523117428,20,19
1523121631,23,22
1523125250,18,23
1523128830,20,18
1523132429,20,21
1523136031,21,19
1523139628,19,20
1523143230,24,22
1523146828,17,18
1523149830,15,15
1523157028,23,23
1523160631,18,20
1523164228,21,18
