DateTime,Entries,UniqueIPs
1521626374,187,187
1521628343,192,192
1521630208,196,196
1521632175,198,198
1521634033,197,197
1521636015,200,200
1521637862,200,200
1521639778,200,200
1521641657,197,197
1521643466,180,180
1521645497,121,121
1521647298,191,191
1521649345,191,191
1521651271,189,189
1521653189,191,191
1521654992,192,192
1521657040,189,189
1521658990,189,189
1521660930,189,189
1521662894,215,215
1521664760,268,268
1521666739,270,270
1521668861,269,269
1521670970,268,268
1521672813,266,266
1521675582,265,265
1521677564,264,264
1521679475,263,263
1521682431,267,267
1521685716,271,271
1521687759,270,270
1521689572,272,272
1521691479,272,272
1521693628,270,270
1521695545,272,272
1521697460,275,275
1521699391,279,279
1521701570,283,283
1521703634,287,287
1521705874,291,291
1521707802,294,294
1521709724,291,291
1521711887,293,293
1521713785,289,289
1521715967,286,286
1521717868,284,284
1521719793,285,285
1521721721,284,284
1521723695,284,284
1521725550,284,284
1521727491,284,284
1521729406,286,286
1521731335,284,284
1521733245,293,293
1521735489,226,226
1521737316,227,227
1521739222,228,228
1521741160,227,227
1521743080,231,231
1521744978,233,233
1521746921,232,232
1521748923,209,209
1521751003,176,176
1521752927,164,164
1521754838,162,162
1521756743,162,162
1521758926,160,160
1521760827,161,161
1521762760,162,162
1521764675,163,163
1521766581,164,164
1521768515,162,162
1521770516,158,158
1521772361,160,160
1521774271,166,166
1521776204,171,171
1521778123,170,170
1521780039,168,168
1521781951,167,167
1521783897,160,160
1521785801,165,165
1521787713,162,162
1521789639,162,162
1521791550,152,152
1521793485,152,152
1521795390,150,150
1521797313,150,150
1521799839,150,150
1521801877,152,152
1521803778,151,151
1521805723,150,150
1521807887,149,149
1521809789,146,146
1521811711,145,145
1521815125,142,142
1521816980,141,141
1521818916,122,122
1521821084,123,123
1521823003,120,120
1521824929,117,117
1521826829,118,118
1521828759,119,119
1521830697,116,116
1521832590,115,115
1521834511,115,115
1521836673,116,116
1521838901,112,112
1521840749,114,114
1521842690,114,114
1521845711,139,139
1521847955,193,193
1521849879,194,194
1521851783,192,192
1521853708,192,192
1521855866,191,191
1521857783,186,186
1521859710,182,182
1521861612,176,176
1521863548,175,175
1521865455,176,176
1521867497,175,175
1521869542,174,174
1521871471,169,169
1521873627,168,168
1521875559,166,166
1521877480,171,171
1521879386,171,171
1521881324,171,171
1521883226,168,168
1521885160,168,168
1521887077,169,169
1521888987,169,169
1521890906,169,169
1521892926,170,170
1521894748,169,169
1521896689,175,175
1521898585,174,174
1521900508,174,174
1521902425,174,174
1521904354,174,174
1521906275,175,175
1521908201,176,176
1521910109,175,175
1521912268,175,175
1521914199,174,174
1521916102,174,174
1521918079,177,177
1521919962,176,176
1521921870,174,174
1521923824,176,176
1521925712,177,177
1521927638,176,176
1521929544,176,176
1521931462,155,155
1521933399,113,113
1521935302,100,100
1521937230,98,98
1521939139,99,99
1521941075,97,97
1521942982,101,101
1521944914,101,101
1521946939,100,100
1521951154,98,98
1521956915,94,94
1521961102,91,91
1521962910,89,89
1521971555,89,89
1521973472,86,86
1521976351,86,86
1521978267,87,87
1521984808,84,84
1521986839,83,83
1521988712,83,83
1521990579,82,82
1521994413,78,78
1521998248,76,76
1522000061,76,76
1522005725,71,71
1522008768,75,75
1522010767,72,72
1522012583,75,75
1522014750,79,79
1522016675,131,131
1522018574,129,129
1522020765,135,135
1522022687,131,131
1522024578,131,131
1522026512,130,130
1522028426,132,132
1522030359,128,128
1522032283,132,132
1522034200,136,136
1522036097,136,136
1522038036,136,136
1522039942,141,141
1522041995,139,139
1522044084,139,139
1522046041,141,141
1522047884,147,147
1522049787,147,147
1522051699,150,150
1522053616,149,149
1522055591,157,157
1522057465,158,158
1522059410,161,161
1522061345,165,165
1522063225,169,169
1522065145,170,170
1522067064,173,173
1522068934,171,171
1522070904,171,171
1522073079,173,173
1522075004,174,174
1522076925,181,181
1522078839,183,183
1522080865,186,186
1522082678,229,229
1522084605,233,233
1522086523,231,231
1522088426,235,235
1522090360,235,235
1522092272,235,235
1522094203,234,234
1522096111,235,235
1522100295,234,234
1522102401,186,186
1522104530,187,187
1522107853,182,182
1522110138,182,182
1522112243,185,185
1522114095,184,184
1522116283,188,188
1522118177,193,193
1522120106,189,189
1522122035,188,188
1522123964,189,189
1522125882,189,189
1522127804,191,191
1522129723,192,192
1522131858,195,195
1522133774,193,193
1522135713,191,191
1522137720,195,195
1522139557,198,198
1522141475,192,192
1522143403,192,192
1522145325,191,191
1522147943,187,187
1522149871,189,189
1522152124,193,193
1522154154,192,192
1522156093,196,196
1522157962,198,198
1522160201,196,196
1522162119,194,194
1522164031,191,191
1522166215,196,196
1522168105,243,243
1522170094,227,227
1522171955,231,231
1522173890,229,229
1522175789,230,230
1522177725,230,230
1522179633,230,230
1522181567,230,230
1522183477,230,230
1522185403,233,233
1522187327,230,230
1522189662,229,229
1522191812,228,228
1522193787,229,229
1522195719,230,230
1522197624,230,230
1522199554,230,230
1522201732,230,230
1522205027,220,220
1522206947,224,224
1522214299,227,227
1522216495,227,227
1522219709,224,224
1522221767,227,227
1522223620,224,224
1522241093,84,84
1522243436,202,202
1522246760,201,201
1522249719,190,190
1522251625,183,183
1522253626,168,168
1522276487,73,73
1522278333,72,72
1522282524,68,68
1522284760,61,61
1522288599,57,57
1522292441,54,54
1522296294,45,45
1522300116,41,41
1522303961,35,35
1522307794,27,27
1522311637,19,19
1522315480,12,12
1522319313,10,10
1522323160,3,3
1522325057,0,0
