DateTime,Entries,UniqueIPs
1512342286,78,78
1512429665,80,80
1512604126,81,81
1512865742,80,80
1512952868,79,79
1513127094,78,78
1513301597,77,77
1513388668,73,73
1513650277,72,72
1513737675,69,69
1513999012,64,64
1514086147,62,62
1514173237,60,60
1514260373,63,63
1514347839,63,63
1514434856,64,64
1514522214,63,63
1514609755,56,56
1514697059,56,56
1514784362,56,56
1514871421,57,57
1514958554,55,55
1515176752,49,49
1515264040,49,49
1515351320,49,49
1515526279,48,48
1515700595,47,47
1515875206,46,46
1515962860,47,47
1516137431,49,49
1516224630,47,47
1516311934,45,45
1516399011,43,43
1516747492,44,44
1516835049,45,45
1516922257,44,44
1517009345,46,46
1517096470,47,47
1517270947,48,48
1517358060,47,47
1517532278,44,44
1517619406,45,45
1517706546,46,46
1517880988,45,45
1518142370,46,46
1518229493,46,46
1518491326,47,47
1518753184,46,46
1519101751,47,47
1519275817,46,46
1519624374,43,43
1519711407,41,41
1519798620,42,42
1519885743,40,40
1520409415,40,40
1520583891,40,40
1520671236,39,39
1520758374,40,40
1520845493,37,37
1520932843,36,36
1521019971,35,35
1521194491,34,34
1521456318,35,35
1521717633,33,33
1522022698,32,32
1522284286,33,33
