DateTime,Entries,UniqueIPs
1505390461,66314,34743970
1505400499,66334,34743985
1505439545,66344,34744047
1505476871,68682,34746406
1505487530,68622,34746334
1505496742,68624,34746348
1505563256,68698,34746424
1505563339,68787,34746530
1505649677,68786,34746534
1505649727,68817,34746485
1505675680,68976,34746657
1505735087,68972,34746681
1505736060,69129,34746918
1505760663,69078,34746866
1505821017,69115,34746857
1505822456,69039,34746785
1505845071,69234,34747007
1505877274,69281,34747056
1505908849,69331,34747118
1505936630,69126,34746871
1505944945,69208,34746957
1505995250,68316,34746056
1506014785,68301,34746051
1506023375,68214,34745957
1506033156,68282,34745998
1506081655,68043,34745744
1506098119,68098,34745808
1506110430,68140,34745857
1506168083,68044,34745770
1506198082,68050,34745781
1506254448,67144,34744846
1506261740,67118,34744818
1506281829,67153,34744854
1506340853,64744,34742427
1506345083,64782,34742459
1506347828,64918,34742660
1506368798,64957,34742700
1506427249,64915,34742661
1506455177,65177,34742858
1506505585,65151,34742828
1506513689,65197,34742854
1506532289,65116,34742755
1506551407,65176,34742833
1506551417,65187,34742840
1506600050,65250,34742870
1506613868,65377,34743019
1506637552,65398,34743085
1506686450,65763,34743483
1506699446,65745,34743459
1506721200,65850,34743514
1506772852,65892,34743565
1506802130,66064,34743757
1506806702,66086,34743798
1506807076,65873,34743595
1506859284,65757,34743466
1506886944,65775,34743486
1506905054,65966,34743694
1506945651,65834,34743559
1506969656,65695,34743466
1507032066,65673,34743454
1507054299,65926,34743675
1507066568,65954,34743721
1507118449,66118,34743899
1507132246,66297,34744292
1507141371,66281,34744282
1507169052,66377,34744593
1507204849,66429,34744670
1507217319,66310,34744357
1507229103,66271,34744083
1507291248,66291,34744101
1507302544,66318,34744146
1507306329,66279,34744090
1507316419,66221,34744061
1507377650,66184,34744020
1507404493,66300,34744150
1507419135,66196,34744035
1507464149,66211,34744040
1507478171,66365,34744378
1507479092,66492,34744520
1507507459,66350,34744325
1507540634,66228,34744004
1507551865,65932,34743671
1507566209,65894,34743629
1507572548,65862,34743560
1507625532,65824,34743515
1507627247,65877,34743573
1507636882,65842,34743527
1507649741,65996,34743705
1507658777,65986,34743726
1507723263,65970,34743702
1507736085,65939,34743684
1507758011,66142,34744037
1507801925,66113,34744003
1507810112,66110,34743993
1507821708,66138,34744004
1507843194,66163,34744033
1507896048,66110,34743960
1507908215,66041,34743887
1507920045,66007,34743857
1507982530,66048,34743900
1508007854,66081,34743941
1508066649,66002,34743846
1508068913,65891,34743720
1508069114,65883,34743722
1508095926,65854,34743587
1508096521,65942,34743689
1508140946,65946,34743745
1508155300,65913,34743712
1508182291,65878,34743676
1508227928,66123,34744054
1508241650,66129,34744059
1508271857,66269,34744210
1508310958,66089,34743846
1508328050,65997,34743755
1508337743,65925,34743686
1508361684,66022,34743785
1508394187,66040,34743812
1508414465,66021,34743787
1508424375,66151,34743940
1508462885,66122,34743931
1508480634,66152,34743957
1508500850,66235,34744045
1508511290,66422,34744253
1508536330,66566,34744590
1508580257,66661,34744702
1508587249,66720,34744767
1508609773,66566,34744586
1508618722,66501,34744517
1508673651,66583,34744607
1508683925,66702,34744635
1508698571,66683,34744605
1508702550,66824,34744751
1508750941,66612,34744436
1508760055,66568,34744406
1508786648,4250,34676642
1508788776,66531,34744374
1508846449,4291,34676690
1508932848,4330,34676740
1508934015,4331,34676747
1509019249,4374,34676795
1509105649,4406,34676826
1509192053,4451,34676859
1509278450,4399,34676802
1509364850,4325,34676717
1509451282,4307,34676695
1509537668,4286,34676677
1509624107,4308,34676700
1509710456,4320,34676714
1509796876,4290,34676683
1509883250,4252,34676647
1509969719,4208,34676601
1510056050,4206,34676605
1510142470,4292,34676689
1510228849,4363,34676759
1510315459,4319,34676701
1510330098,4302,34676694
1510401708,4250,34676643
1510488050,4198,34676584
1510574526,4110,34676502
1510660919,4068,34676454
1510747350,4153,34676535
1510833649,4164,34676560
1510920075,4146,34676543
1511006453,4017,34676414
1511092903,3936,34676329
1511179250,3900,34676291
1511265686,3890,34676278
1511352053,3903,34676290
1511438478,3895,34676277
1511524852,3891,34676280
1511611271,3813,34676206
1511612664,3948,34676348
1511697681,3896,34676292
1511784064,3875,34676267
1511870452,3908,34676300
1511956866,3928,34676320
1512043296,4187,34676594
1512129691,4293,34676716
1512216732,4343,34676764
1512302453,4397,34676821
1512388890,4423,34676842
1512475267,4461,34676880
1512561652,4469,34676891
1512648103,4507,34676926
1512734489,4512,34676933
1512820855,4530,34676951
1512907250,4317,34676713
1512993729,4256,34676649
1513080056,4201,34676596
1513166450,4226,34676627
1513252971,4275,34676739
1513339376,4304,34676770
1513425671,4368,34676837
