DateTime,Entries,UniqueIPs
1512342187,79,79
1512364149,77,77
1512386215,76,76
1512408278,77,77
1512430366,87,87
1512452473,86,86
1512474491,84,84
1512497051,85,85
1512518923,84,84
1512541013,82,82
1512563091,79,79
1512584995,76,76
1512606978,72,72
1512629062,71,71
1512650926,70,70
1512673108,69,69
1512695333,75,75
1512717396,74,74
1512783171,71,71
1512805316,72,72
1512827332,72,72
1512849394,153,153
1512871502,154,154
1512915689,156,156
1512937968,157,157
1512959816,156,156
1512981869,155,155
1513003956,154,154
1513026256,144,144
1513048155,149,149
1513070188,148,148
1513114129,147,147
1513136205,148,148
1513158277,150,150
1513180117,151,151
1513202206,151,151
1513224282,152,152
1513257631,154,154
1513279474,155,155
1513301576,151,151
1513323624,150,150
1513345716,149,149
1513367834,150,150
1513389881,149,149
1513411990,150,150
1513434053,151,151
1513456124,69,69
1513477996,67,67
1513500022,69,69
1513521870,70,70
1513543959,67,67
1513588153,75,75
1513610005,81,81
1513632043,81,81
1513654104,77,77
1513675990,78,78
1513719898,81,81
1513741971,81,81
1513764101,80,80
1513808627,79,79
1513852614,78,78
1513874664,77,77
1513897349,77,77
1513919308,76,76
1513941420,75,75
1513985814,76,76
1514007883,74,74
1514117891,69,69
1514139868,68,68
1514161728,69,69
1514183896,64,64
1514205855,59,59
1514227965,59,59
1514249924,59,59
1514271882,62,62
1514315802,62,62
1514337768,58,58
1514359753,53,53
1514382045,59,59
1514404128,56,56
1514425980,57,57
1514491957,56,56
1514514026,57,57
1514535873,58,58
1514557791,59,59
1514602011,58,58
1514646161,59,59
1514689980,60,60
1514712099,61,61
1514734287,60,60
1514756236,62,62
1514778285,64,64
1514800215,65,65
1514866372,63,63
1514888466,60,60
1514998603,54,54
1515154183,57,57
1515176225,56,56
1515198267,55,55
1515220533,57,57
1515242660,66,66
1515286591,68,68
1515308490,67,67
1515330504,68,68
1515352614,65,65
1515374828,66,66
1515396768,65,65
1515418727,67,67
1515440667,68,68
1515485059,67,67
1515529064,67,67
1515551071,67,67
1515573172,70,70
1515595230,75,75
1515617277,78,78
1515661284,80,80
1515683305,81,81
1515705436,80,80
1515727719,77,77
1515749807,76,76
1515771877,76,76
1515793955,75,75
1515816143,74,74
1515838393,68,68
1515860452,68,68
1515882822,67,67
1515904961,67,67
1515927165,73,73
1515949330,73,73
1515971651,74,74
1516015985,71,71
1516038027,72,72
1516059897,74,74
1516081973,75,75
1516103820,75,75
1516125683,75,75
1516147701,73,73
1516169600,73,73
1516191874,72,72
1516214112,66,66
1516236335,64,64
1516280171,65,65
1516324569,65,65
1516346690,65,65
1516369000,67,67
1516391020,66,66
1516412918,67,67
1516434983,68,68
1516456893,69,69
1516479192,67,67
1516545144,68,68
1516589052,68,68
1516610930,69,69
1516654881,70,70
1516677359,70,70
1516699246,67,67
1516721552,68,68
1516743934,66,66
1516765980,68,68
1516799326,65,65
1516821173,65,65
1516843067,67,67
1516865108,67,67
1516887160,67,67
1516909230,68,68
1516931648,67,67
1516953725,68,68
1516975713,68,68
1516997812,68,68
1517020189,73,73
1517042204,71,71
1517064260,67,67
1517107963,66,66
1517129804,65,65
1517195555,65,65
1517217689,65,65
1517239707,66,66
1517261560,66,66
1517283407,68,68
1517306346,70,70
1517328552,70,70
1517372747,70,70
1517394771,71,71
1517417077,72,72
1517439153,74,74
1517461485,73,73
1517505414,71,71
1517527482,70,70
1517549577,70,70
1517593709,70,70
1517615572,70,70
1517637707,71,71
1517660131,68,68
1517682155,69,69
1517748458,70,70
1517770628,72,72
1517792924,71,71
1517815019,70,70
