DateTime,AddedIPs,RemovedIPs
1512386220,0,1
1512430370,0,1
1512452479,1,0
1512497054,1,1
1512518926,0,1
1512541017,0,1
1512650929,0,1
1512673112,0,1
1512739386,0,1
1512893568,2,0
1512981875,1,0
1513026260,23,0
1513136208,2,0
1513180121,1,1
1513257635,1,0
1513279478,2,0
1513323627,1,0
1513345723,1,0
1513477999,0,1
1513521874,1,0
1513543963,0,1
1513588160,0,1
1513632046,0,23
1513741974,0,1
1513786413,0,1
1513874667,0,1
1513985817,0,2
1514007886,0,1
1514227968,14,0
1514359756,23,1
1514382051,0,1
1514469951,1,0
1514491960,1,0
1514514029,1,1
1514602017,1,0
1514646164,1,0
1514734290,1,0
1514822211,0,14
1514888468,1,0
1514976374,0,24
1515133546,15,2
1515222399,0,2
1515244611,9,1
1515288513,1,0
1515354531,14,1
1515464924,2,0
1515486942,1,0
1515642130,10,0
1515752084,1,0
1515796611,0,1
1515818694,1,0
1515840750,0,8
1515884874,1,0
1515906785,8,0
1515951363,0,2
1516061822,0,1
1516215880,1,0
1516281958,1,0
1516303953,1,1
1516370484,0,1
1516414903,0,26
1516536544,0,1
1516712183,1,0
1516756138,1,0
1516778179,0,1
1516932523,1,0
1516976668,1,0
1516998774,0,1
1517064877,0,8
1517130983,0,1
1517175316,1,0
1517197215,1,0
1517285329,0,14
1517505420,0,2
1517549579,0,1
1517660134,1,0
1517770630,1,0
1517792474,0,1
1517902344,0,1
1517924187,0,1
1518256156,1,1
1518278483,1,1
1518344685,1,0
1518366767,0,1
1518388829,14,0
1518433025,1,0
1518851330,0,1
1518983541,0,14
1519027479,0,1
1519137713,0,1
1519159720,1,0
1519203715,1,0
1519225747,1,0
1519247798,1,0
1519269893,1,0
1519380290,1,0
1519424198,15,0
1519513389,1,0
1519601552,0,1
1519756559,0,1
1519822881,0,1
1519844919,0,1
1519867044,0,1
1519999867,0,1
1520022039,0,1
1520110363,0,1
1520242360,1,0
1520417827,1,0
1520505873,0,1
1520616280,1,0
1520704349,1,14
1520837071,14,1
1520859082,2,0
1521323070,0,1
1521421728,0,14
1521531628,0,1
1521641661,1,0
1521663640,14,0
1521685722,1,0
1521972257,1,0
1522149166,0,1
1522193080,1,0
1522282530,0,15
1522304438,0,2
1522326761,0,1
1522790444,0,1
1522812606,0,1
