DateTime,Entries,UniqueIPs
1472784249,48,50
1472869467,75,81
1472957778,50,50
1473042984,92,92
1473129384,87,88
1473213856,85,89
1473302180,48,50
1473390745,49,50
1473475219,85,90
1473563779,50,50
1473648502,90,91
1473734902,85,89
1473823453,50,50
1473908449,94,94
1473996983,49,50
1474081938,92,93
1474166646,92,92
1474254982,50,50
1474343304,48,50
1474428017,87,90
1474516591,49,50
1474601303,91,93
1474687943,50,50
1474772660,89,90
1474862020,49,50
1474948343,82,86
1475036660,50,50
1475121140,85,87
1475206340,85,87
1475293215,49,50
1475381793,50,50
1475470108,50,50
1475556493,93,95
1475643137,50,50
1475730251,50,50
1475816894,49,50
1475907222,50,50
1475991614,92,92
1476076334,87,88
1476162973,50,50
1476252255,48,50
1476336774,85,88
1476423142,88,90
1476511694,47,50
1476598575,50,50
1476686888,50,50
1476771620,88,88
1476860464,49,50
1476944899,90,91
1477033456,50,50
1477118416,93,94
1477208680,49,50
1477295298,50,50
1477383851,50,50
1477470251,85,86
1477554763,89,90
1477643535,50,50
1477729932,94,94
1477817290,50,50
1477902067,96,97
1477986977,95,95
1478077261,50,50
1478160743,90,90
1478249770,50,50
1478334741,88,89
1478423309,48,50
1478508250,91,94
1478592978,89,91
1478681295,48,50
1478769861,50,50
1478856509,50,50
1478941460,90,91
1479029544,50,50
1479114263,93,94
1479207177,50,50
1479292344,100,100
1479378993,50,50
1479467551,50,50
1479553955,50,50
1479639152,88,89
1479727697,48,50
1479817944,50,50
1479902512,93,94
1479987141,84,89
1480076171,50,50
1480161381,91,91
1480246598,92,93
1480334904,49,50
1480423221,50,50
1480508439,93,93
1480616652,50,50
1480682185,99,100
1480770996,49,50
1480855534,98,99
1480944737,46,50
1481031353,50,50
1481117795,50,50
1481207544,50,50
1481292750,99,100
1481377703,88,89
1481462679,94,94
1481551298,50,50
1481640265,49,50
1481724755,87,89
1481813555,47,50
1481898268,86,90
1481986573,47,50
1482071800,88,92
1482156762,88,89
1482245564,49,50
1482332204,44,50
1482417403,81,90
1482505954,50,50
1482969864,48,50
1483035148,81,86
1483125863,48,50
1483210350,83,88
1483260266,50,50
1483294828,80,84
1483383149,47,50
1483467628,84,89
1483556171,47,50
1483640905,81,84
1483729291,47,50
1490858173,50,50
1490912647,99,100
1491000971,48,50
1491086187,86,89
1491174498,49,50
1491259220,94,96
1491347350,50,50
1491432267,92,94
1491517215,97,99
1491605784,50,50
1491690506,96,96
1491779307,50,50
1491864011,98,99
1491952829,50,50
1492037533,97,97
1492122515,98,99
1492211542,50,50
1492296749,92,95
1492381947,91,93
1492470747,50,50
1492559065,50,50
1492643778,92,92
1492728494,93,94
1492817552,50,50
1492902518,93,93
1492991313,49,50
1493076263,90,92
1493163627,50,50
1493248588,96,96
1493337698,50,50
1493420908,94,94
1493507781,49,50
1493597308,50,50
1493682492,90,92
1493767538,91,93
1493856510,49,50
1493940984,93,94
1494027963,50,50
1494112830,97,97
1494201864,49,50
1494286827,99,100
1494375150,49,50
1494460111,94,97
1494545052,96,97
1494633870,50,50
1494720514,50,50
1494805933,95,96
1494894992,50,50
1494979958,92,93
1495064893,98,98
1495153695,48,50
1495238544,89,92
1495326971,48,50
1495413376,50,50
1495498569,99,100
1495587152,50,50
1495673794,50,50
1495758735,96,97
1495843722,96,97
1495932265,50,50
1496017232,100,100
1496102677,95,96
1496189546,50,50
1496278884,50,50
1496362114,96,96
1496451700,50,50
1496536109,92,92
1496624911,50,50
1496709387,96,96
1496795071,96,96
1496883868,50,50
1496968340,93,94
1497053311,92,93
1497142350,50,50
1497227060,93,93
1497315867,49,50
1497400594,96,99
1497485534,94,97
1497574094,50,50
1497659068,92,92
1497747378,49,50
1497833075,90,91
1497918750,94,94
1498007325,49,50
1498091771,93,94
1498176993,98,98
1498266269,50,50
1498351449,96,96
1498440014,48,50
1498523547,96,98
1498612836,50,50
1498697791,98,98
1498782756,87,93
1498871776,47,50
1498956743,85,93
1499044829,46,50
1499130747,95,99
1499216181,95,95
1499304987,49,50
1499389950,94,95
1499475132,89,90
1499563708,50,50
1499648892,94,94
1499737225,50,50
1499822439,99,99
1499909542,49,50
1499994751,94,95
1500083308,50,50
1500167788,95,95
1500253295,92,92
1500342270,50,50
1500427229,94,95
1500512183,91,93
1500600971,50,50
1500685943,92,93
1500774992,49,50
1500859703,98,99
1500948268,50,50
1501033463,91,91
1501118425,89,90
1501204114,91,91
1501293394,50,50
1501380272,50,50
1501466187,94,94
1501550671,95,96
1501636110,93,94
1501724907,50,50
1501809633,94,94
1501898544,50,50
1501983872,95,95
1502072653,50,50
1502157389,91,91
1502242825,94,94
1502331873,50,50
1502417308,92,93
1502502730,93,95
1502591308,49,50
1502676734,93,94
1502761937,92,96
1502847874,86,90
1502936658,50,50
1503021709,94,94
1503107071,91,93
1503195861,50,50
1503280901,96,97
1503369134,50,50
1503454095,95,97
1503542409,50,50
1503678012,45,50
1503762735,92,100
1503847927,95,98
1503933139,95,96
1504021929,50,50
1504107383,98,98
1504115055,86,86
1504195688,99,99
1504280416,97,97
1504365136,91,91
1504452488,50,50
1504541053,50,50
1504626009,99,99
1504715060,50,50
1504800039,98,98
1504884979,96,96
1504973769,50,50
1505058492,94,95
1505147053,50,50
1505232492,94,95
1505318463,89,93
1505403383,94,97
1505492416,50,50
1505577858,98,98
1505662570,97,99
1505751377,50,50
1505836570,95,97
1505925616,48,50
1506011528,94,97
1506096254,97,99
1506185290,48,50
1506270254,94,97
1506355212,95,99
1506444491,47,50
1506529212,95,98
1506614170,93,96
1506702983,48,50
1506790829,49,50
1506876006,92,97
1506961700,92,96
1507049533,50,50
1507134486,97,97
1507219702,97,97
1507306819,49,50
1507395627,49,50
1507480095,96,97
1507565300,95,96
1507654574,49,50
1507739535,95,97
1507825222,89,92
1507914501,50,50
1508000426,98,99
1508085613,95,98
1508174173,50,50
1508260335,99,99
1508345530,96,96
1508430007,93,96
1508519774,50,50
1508605460,99,99
1508690418,99,100
1508776813,92,96
1508866336,49,50
1508951775,95,96
1509036969,95,96
1509123373,50,50
1509208579,99,99
1509298094,50,50
1509383058,96,98
1509467777,97,97
1509554184,49,50
1509643214,50,50
