DateTime,AddedIPs,RemovedIPs
1512364152,8,2
1512386218,10,6
1512408280,13,3
1512430368,4,3
1512452476,0,5
1512474492,12,6
1512497053,6,6
1512518924,8,9
1512541015,5,6
1512563093,4,12
1512584998,4,3
1512606979,3,6
1512629064,2,3
1512650927,6,4
1512673110,9,8
1512695334,3,7
1512717398,5,9
1512739384,6,6
1512761317,2,10
1512783173,1,4
1512805317,1,2
1512827333,1,4
1512849396,13,3
1512871505,0,2
1512893567,1,5
1512915691,0,5
1512937969,3,1
1512959817,1,5
1512981872,1,4
1513003957,6,13
1513026258,7,10
1513048158,5,1
1513070190,9,2
1513092277,3,11
1513114130,7,9
1513136206,4,8
1513158278,5,4
1513180119,5,8
1513202207,9,3
1513224285,4,2
1513257633,5,8
1513279476,2,8
1513301578,2,8
1513323625,4,6
1513345719,11,10
1513367836,3,8
1513389882,1,1
1513411991,3,1
1513434055,2,1
1513456127,2,0
1513477997,3,2
1513500024,4,0
1513521872,4,20
1513543961,7,9
1513565808,5,8
1513588156,2,6
1513610007,2,5
1513632044,3,7
1513654105,4,9
1513675994,1,11
1513697880,8,3
1513719899,9,8
1513741972,5,4
1513764102,3,5
1513786410,10,6
1513808630,6,9
1513830519,10,4
1513852617,4,5
1513874665,12,1
1513897352,4,0
1513919309,5,1
1513941421,4,2
1513963547,13,2
1513985815,2,0
1514007884,3,0
1514029932,2,20
1514051846,2,1
1514073722,3,3
1514095970,1,4
1514117894,15,10
1514139870,13,1
1514161730,8,8
1514183897,2,2
1514205856,1,1
1514227967,0,2
1514249926,1,2
1514271883,2,5
1514293737,0,3
1514315803,4,10
1514337769,0,7
1514359754,0,4
1514382048,11,4
1514404129,19,12
1514425982,4,5
1514448090,4,5
1514469949,13,8
1514491959,12,9
1514514028,5,3
1514535874,2,7
1514557794,13,8
1514579806,6,5
1514602014,0,2
1514623960,0,1
1514646163,1,3
1514668038,0,2
1514689982,1,0
1514712100,2,1
1514734288,1,34
1514756237,22,53
1514778286,48,5
1514800216,1,2
1514822209,3,1
1514844312,0,1
1514866373,1,2
1514888467,1,2
1514910504,1,3
1514932471,2,0
1514954351,3,0
1514976373,1,8
1514998604,4,16
1515133543,12,49
1515155567,3,11
1515177772,0,9
1515200053,1,0
1515244609,1,1
1515266663,1,0
1515288511,16,0
1515310366,1,3
1515332445,4,12
1515354527,18,17
1515376602,18,6
1515398690,0,3
1515420750,2,2
1515486940,0,1
1515509152,0,2
1515531533,0,2
1515553461,0,3
1515575620,0,1
1515597850,0,3
1515620055,0,1
1515642128,0,1
1515664341,1,1
1515686206,0,3
1515708109,6,3
1515730139,5,4
1515752082,0,2
1515774304,8,1
1515796608,0,1
1515840746,0,1
1515884872,98,19
1515906781,69,0
1515929113,25,2
1515951361,45,9
1515973755,36,11
1515995797,26,0
1516017889,39,2
1516039909,28,0
1516061820,11,0
1516083920,11,0
1516105965,26,0
1516128022,13,0
1516150115,10,1
1516171958,13,0
1516193886,30,1
1516215878,16,0
1516237779,14,0
1516259814,32,1
1516281956,32,0
1516303950,17,2
1516326053,10,3
1516348035,1,2
1516370476,2,5
1516392622,3,0
1516414899,1,0
1516437037,1,0
1516459034,2,0
1516481085,0,46
1516503149,2,66
1516536541,3,42
1516558381,7,44
1516580420,11,35
1516602308,2,22
1516624361,4,40
1516646414,2,24
1516668265,3,12
1516690331,2,14
1516712179,5,25
1516745060,5,21
1516766912,1,15
1516788755,1,24
1516810856,1,27
1516833219,0,19
1516855476,2,28
1516877598,4,40
1516899692,1,33
1516921712,2,17
1516943553,1,8
1516965417,3,2
1516987486,1,5
1517009333,6,3
1517031389,5,2
1517053472,43,2
1517075332,1,0
1517097381,3,0
1517130264,9,3
1517152353,18,36
1517174212,47,28
1517196496,44,4
1517218377,26,3
1517240414,29,2
1517262293,14,1
1517284371,21,4
1517306349,22,3
1517328553,20,3
1517350858,21,2
1517372750,11,1
1517394772,23,2
1517417078,28,0
1517439156,15,0
1517461486,16,2
1517483335,18,3
1517505417,20,0
1517527482,13,1
1517549577,9,1
1517571648,17,3
1517593710,12,1
1517615573,10,6
1517637707,10,3
1517660132,7,36
1517682156,11,1
1517704115,8,2
1517726213,14,1
1517748459,7,22
1517770629,15,20
1517792925,15,16
1517815020,2,20
1517837063,6,25
1517858906,4,25
1517880764,2,14
1517902892,2,20
1517924925,2,23
1517946778,2,18
1517968896,5,15
1517990933,2,20
1518013009,6,28
1518035065,1,19
1518057163,0,10
1518079481,1,19
1518101322,5,20
1518123378,2,12
1518145293,0,12
1518167289,1,18
1518189649,0,12
1518211729,2,16
1518234054,0,12
1518256153,1,12
1518278480,1,16
1518300508,0,10
