DateTime,AddedIPs,RemovedIPs
1514312675,17,0
1514336201,0,64
1514338270,0,2
1514344365,47,1
1514397795,0,17
1514403860,1,0
1514431266,0,47
1514461238,3,0
1514489559,0,1
1514516675,46,0
1514547623,0,3
1514585832,4,0
1514594092,59,0
1514600125,1,0
1514602008,0,46
1514672031,0,4
1514673984,74,0
1514679875,0,59
1514685880,0,1
1514758968,0,71
1514760986,0,3
1514781410,1,0
1514791259,85,0
1514793150,7,0
1514865878,1,0
1514867782,0,1
1514877649,0,85
1514879556,0,7
1514902608,1,0
1514904575,2,0
1514917006,59,0
1514931407,1,0
1514952747,0,1
1514958533,38,0
1514960434,31,0
1514987548,42,0
1514989473,9,2
1514991396,0,1
1515002948,0,59
1515018537,0,1
1515133538,2,120
1515147015,12,0
1515148949,3,0
1515170665,0,1
1515172505,22,0
1515174754,1,0
1515221796,0,1
1515233898,0,12
1515235921,0,3
1515251415,1,0
1515253399,91,0
1515255319,30,0
1515259308,0,23
1515274811,1,0
1515323549,118,0
1515329239,1,0
1515336951,0,1
1515340778,0,121
1515344508,46,0
1515346364,46,0
1515360285,0,1
1515382747,1,0
1515408237,0,100
1515410046,0,18
1515413881,14,0
1515415854,0,1
1515425664,40,0
1515431427,0,92
1515462478,76,0
1515468269,0,1
1515474451,1,0
1515499497,0,13
1515501433,0,1
1515513197,0,40
1515534991,89,0
1515536960,30,0
1515548933,0,76
1515560777,0,1
1515562615,1,0
1515587830,46,0
1515601679,43,0
1515603521,3,0
1515621095,0,71
1515622950,0,48
1515649619,0,1
1515673556,0,5
1515675459,0,41
1515685292,75,0
1515689571,0,38
1515691690,1,0
1515695806,123,0
1515703467,1,0
1515733689,95,0
1515735860,1,0
1515750539,124,0
1515756271,1,0
1515771874,0,83
1515781733,0,123
1515807012,0,1
1515817015,1,0
1515820836,0,96
1515836679,0,123
1515838833,0,1
1515842665,9,1
1515844617,13,0
1515846535,1,0
1515872224,5,0
1515874193,1,0
1515877987,5,0
1515879891,6,0
1515891468,0,1
1515902987,0,1
1515922585,4,0
1515924427,6,0
1515926231,21,0
1515930045,0,9
1515932097,0,14
1515953566,7,0
1515955486,1,0
1515959334,0,6
1515962119,13,0
1515964099,1,0
1515966071,0,11
1516005864,1,0
1516009965,12,9
1516011874,1,19
1516013788,5,2
1516041166,0,8
1516045000,10,0
1516047391,0,13
1516049308,0,1
1516051135,5,0
1516082481,7,0
1516084359,7,0
1516092044,0,1
1516096110,0,9
1516098042,0,5
1516100172,0,5
1516108369,1,0
1516110275,10,0
1516116051,10,0
1516117967,1,0
1516130190,0,10
1516137870,11,5
1516145809,1,0
1516147696,14,0
1516153986,1,0
1516165738,8,0
1516167639,0,7
1516171725,0,7
1516186135,7,0
1516193878,0,1
1516195818,0,10
1516201540,7,0
1516203528,0,11
1516219678,11,0
1516225626,0,11
1516231703,10,1
1516233549,0,14
1516249028,16,0
1516252956,0,8
1516258931,10,0
1516272838,0,7
1516284826,13,0
1516286658,5,5
1516288706,0,2
1516305552,0,11
1516318141,14,10
1516330371,0,1
1516334850,0,16
1516339259,9,0
1516345285,0,10
1516347152,17,0
1516368994,10,0
1516370940,0,13
1516372845,0,5
1516378845,16,0
1516395874,14,0
1516403804,0,14
1516425089,0,9
1516434979,0,17
1516439573,1,0
1516443838,16,0
1516445825,24,0
1516454071,0,10
1516455883,1,0
1516465726,1,16
1516471478,7,0
1516477237,16,0
1516481083,0,14
1516498823,10,0
1516500760,1,0
1516502669,1,0
1516508445,16,0
1516512256,0,1
1516525872,0,1
1516527851,9,0
1516529777,0,16
1516531693,0,21
1516533632,0,3
1516537480,15,0
1516541652,0,1
1516547339,1,0
1516554994,8,0
1516558835,1,7
1516562688,0,1
1516564574,0,15
1516574221,11,0
1516582599,9,0
1516584503,0,10
1516588346,0,1
1516590280,0,1
1516594101,0,16
1516601793,1,0
1516603710,9,0
1516605623,3,0
1516613306,0,9
1516617134,8,0
1516624840,0,15
1516628795,1,0
1516632530,0,1
1516642369,0,8
1516646176,0,1
1516648132,20,1
1516658481,9,0
1516660369,0,10
1516662285,0,1
1516668024,0,8
1516669955,0,1
1516681475,11,0
1516691070,0,12
1516704505,0,8
1516734767,0,20
1516744365,1,9
1516768146,0,11
1516830268,0,1
1516893863,0,1
1517020185,1,0
1517039467,1,0
1517108481,1,0
1517110350,1,0
1517125726,0,1
1517131699,0,1
1517158346,1,0
1517167971,1,0
1517195075,0,1
1517196988,0,1
1517220934,1,0
1517232526,1,0
1517254133,0,1
1517256240,1,0
1517295864,1,0
1517306343,0,1
1517318210,0,1
1517325953,1,0
1517331866,0,1
1517341537,0,1
1517365047,1,0
1517382328,0,1
1517409863,1,0
1517413830,1,1
1517451147,0,1
1517472289,1,0
1517481863,1,0
1517499609,0,1
1517511135,1,0
1517553407,0,1
1517559173,0,1
1517567302,0,1
1517593249,1,0
1517595168,1,0
1517597083,0,1
1517598988,1,0
1517622513,1,0
1517630483,1,0
1517634289,1,0
1517641940,1,0
1517679166,1,1
1517681072,0,1
1517684938,0,1
1517710137,1,1
1517715876,0,1
1517719718,1,0
1517721642,0,1
1517729305,0,1
1517743223,1,0
1517748994,1,0
1517773965,1,0
1517783665,1,0
1517796086,0,1
1517807567,0,1
1517830835,0,2
1517834664,0,1
1517852749,1,0
1517856643,1,0
1517860892,0,1
1517870414,0,1
1517899093,1,0
1517910653,1,0
1517925381,1,0
1517936902,0,1
1517942917,0,1
1517950598,1,0
1517985164,0,1
1517996682,0,1
1518037678,0,1
1518048179,1,0
1518077549,1,0
1518111189,0,1
1518113078,1,0
1518134946,0,1
1518166588,0,1
1518199942,0,1
1518241955,1,0
1518263901,1,0
1518325725,1,0
1518329808,0,1
1518331970,1,0
1518351589,0,1
1518413796,0,1
1518421945,1,0
1518423885,0,1
