DateTime,AddedIPs,RemovedIPs
1514050127,0,1
1514055860,0,1
1514059820,1,0
1514075571,2,0
1514125022,0,1
1514146793,0,1
1514155007,1,0
1514161247,0,1
1514207084,1,0
1514241164,0,1
1514260360,0,1
1514290174,0,1
1514298543,1,0
1514346286,1,0
1514386358,0,1
1514431263,0,1
1514490044,1,0
1514551720,1,0
1514571864,1,0
1514577695,0,1
1514638889,0,1
1514655394,0,1
1514716598,1,0
1514747813,2,0
1514768191,1,0
1514804670,0,1
1514834448,0,2
1514852194,1,0
1514892814,1,0
1514927332,1,0
1514939073,0,1
1514978752,0,1
1515014423,0,1
1515018534,0,1
1515279650,1,0
1515305201,1,0
1515366854,0,1
1515388752,0,1
1515488888,1,0
1515574101,0,1
1515714916,1,0
1515800938,0,1
1515831858,1,0
1515862171,1,0
1515918558,0,1
1515947812,1,1
1516031306,0,1
1516076212,1,0
1516114129,1,0
1516120683,1,0
1516163551,0,1
1516199661,0,1
1516205391,0,1
1516325633,1,0
1516403319,1,0
1516412909,0,1
1516488738,0,1
1516670659,3,0
1516695613,1,0
1516697536,1,0
1516758516,0,3
1516781751,0,1
1516801284,1,0
1516830264,1,0
1516832244,1,0
1516845904,1,0
1516876619,1,0
1516888132,0,1
1516918868,0,1
1516923685,0,1
1516933478,1,1
1516939313,1,0
1516941159,0,1
1516944974,1,0
1516948838,1,0
1516962374,0,1
1516974275,2,0
1516995858,1,0
1517020183,0,1
1517023010,2,0
1517024922,0,1
1517030899,1,0
1517034739,0,1
1517059187,0,1
1517061148,0,2
1517067011,1,0
1517082878,0,1
1517088499,1,0
1517108479,1,1
1517110348,0,1
1517116105,0,1
1517166056,0,1
1517175624,0,1
1517189298,1,0
1517195073,0,1
1517196985,1,0
1517206595,1,0
1517208504,1,0
1517226761,1,0
1517228686,1,0
1517282431,0,1
1517290101,0,1
1517293967,0,1
1517295862,0,1
1517312208,0,1
1517368374,1,1
1517421395,1,0
1517455951,0,1
1517478982,1,0
1517495074,2,0
1517506832,0,1
1517547373,1,0
1517565458,0,1
1517581474,0,2
1517593246,1,0
1517595165,2,0
1517598985,2,0
1517616739,2,0
1517624430,1,0
1517630478,1,0
1517634286,1,1
1517653700,1,0
1517660678,1,0
1517678341,1,0
1517682153,0,1
1517686096,0,2
1517688287,0,1
1517690183,1,1
1517694282,1,0
1517702205,0,1
1517710830,0,1
1517712728,0,1
1517716583,1,1
1517718517,1,0
1517724255,1,0
1517739629,1,0
1517741776,0,1
1517747548,0,1
1517759080,1,0
1517779911,0,1
1517801806,1,0
1517803733,0,1
1517805645,0,1
1517809466,0,1
1517818848,2,0
1517820731,0,2
1517826995,0,1
1517844263,2,0
1517846178,0,1
1517858651,0,1
1517885767,1,0
1517887574,0,1
1517904758,0,2
1517906707,1,0
1517910651,1,0
1517929285,0,1
1517931143,1,0
1517934980,1,1
1517950596,1,0
1517972694,0,1
1517992355,0,1
1517996361,0,1
1518002521,1,0
1518012070,1,0
1518013959,1,0
1518017773,1,1
1518019726,1,0
1518021643,0,1
1518035562,0,1
1518050909,1,0
1518053030,1,0
1518072745,1,0
1518074673,1,0
1518089296,0,1
1518095544,1,0
1518101314,0,1
1518103299,0,1
1518111186,0,1
1518128923,0,1
1518136848,0,1
1518138984,0,1
1518158920,0,1
1518160840,0,1
1518181272,0,1
1518245775,1,0
1518287841,1,0
1518293568,1,0
1518319734,1,0
1518333877,0,1
1518373774,0,1
